inspection_id,dba_name,aka_name,license_,facility_type,risk,address,city,state,zip,inspection_date,inspection_type,results,latitude,longitude
569358,SPORTSERVICE SOLDIER FIELD,GRIDIRON GRILL,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2011-05-24,Canvass,Pass,41.862628294037634,-87.61503109411332
569359,SPORTSERVICE SOLDIER FIELD,2ND CITY PIZZA,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2011-05-24,Canvass,Pass,41.862628294037634,-87.61503109411332
569364,SPORTSERVICE SOLDIER FIELD,1ST DOWN FRANK,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2011-05-24,Canvass,Pass,41.862628294037634,-87.61503109411332
569378,AMERICA'S DOG,AMERICA'S DOG,,Navy Pier Kiosk,Risk 2 (Medium),600 E GRAND AVE,CHICAGO,IL,60611,2011-06-01,License,Pass,41.892094136861786,-87.61156988394656
569386,COMPLETELY NUTS,COMPLETELY NUTS,,Navy Pier Kiosk,Risk 3 (Low),600 E GRAND AVE,CHICAGO,IL,60611,2011-06-03,License,Pass,41.892094136861786,-87.61156988394656
569400,CHURRO FACTORY,CHURRO FACTORY,,Navy Pier Kiosk,Risk 2 (Medium),600 E GRAND AVE,CHICAGO,IL,60611,2011-06-08,License,Pass,41.892094136861786,-87.61156988394656
577318,TEDDY BEAR SERVICES CORP,TEDDY BEAR DAY CARE,27192,Children's Services Facility,Risk 1 (High),5160 S PULASKI RD,CHICAGO,IL,60632,2011-05-04,License Re-Inspection,Pass,41.79875025743268,-87.72346641018879
579371,HAMLINE,HAMLINE,23511,School,Risk 1 (High),4747 S Bishop (1432W),CHICAGO,IL,60609,2011-02-25,Canvass,Pass,41.8072634679238,-87.66113855560265
579581,RINCONCITO SUDAMERICANO INC,RINCONCITO SUDAMERICANO INC,14924,,Risk 3 (Low),2529 N MILWAUKEE AVE,CHICAGO,IL,60647,2011-03-08,Canvass,Out of Business,41.92738885343592,-87.70442805668638
580602,WENDY'S #001206,WENDY'S #001206,6773,Restaurant,Risk 1 (High),1623 W DIVISION ST,CHICAGO,IL,60622,2011-04-27,Complaint,Pass w/ Conditions,41.903221562685445,-87.66848595723334
580616,ALEGRA,ALEGRA RESTAURANT & BAR,1997582,Restaurant,Risk 1 (High),5406-5408 W FULLERTON AVE,CHICAGO,IL,60639,2011-04-27,Canvass,Fail,41.92414989457289,-87.76136988672664
581074,Mabuhay Grill,Mabuhay Grill,2087939,Restaurant,Risk 1 (High),3810 N CENTRAL AVE,CHICAGO,IL,60634,2011-05-06,License,Fail,41.949884169596324,-87.76703882370184
604626,FRANK'S FRANKS,FRANK'S FRANKS,2065013,Restaurant,Risk 2 (Medium),6132 N NORTHWEST HWY,CHICAGO,IL,60631,2012-02-16,Canvass,Out of Business,41.99294605509157,-87.80026922618272
612465,DISTRICT,DISTRICT,1926854,Restaurant,Risk 1 (High),170 W ONTARIO ST,CHICAGO,IL,60654,2011-09-20,Complaint,Fail,41.89329934684629,-87.63403945791897
659352,ROPA RESTAURANT & WINE BAR,AQUA BAR & GRILL,1893935,Restaurant,Risk 1 (High),1146 W PRATT BLVD,CHICAGO,IL,60626,2011-11-16,Canvass,Pass,42.00565705992212,-87.66037855944283
666209,7-ELEVEN,7_ELEVEN,33039,Grocery Store,Risk 2 (Medium),200 N DEARBORN ST,CHICAGO,IL,60601,2011-11-07,Canvass,Pass,41.88579631234916,-87.6296461541294
670598,FRANK'S FRANKS,FRANK'S FRANKS,2065013,Restaurant,Risk 2 (Medium),6132 N NORTHWEST HWY,CHICAGO,IL,60631,2012-02-16,Canvass,Out of Business,41.99294605509157,-87.80026922618272
782213,LA HACIENDITA TAQUERIA INC,LA HACIENDITA TAQUERIA,1479601,Restaurant,Risk 1 (High),3322 W 47TH ST,CHICAGO,IL,60632,2012-02-09,Canvass,Pass,41.80818630754135,-87.7074336905461
1096245,Chicago DQ Grill and Chill,Chicago DQ Grill and Chill,1959931,Restaurant,Risk 1 (High),436 S Wabash AVE,CHICAGO,IL,60605,2012-03-01,Canvass,Pass,41.87607409944023,-87.62618265822849
1114328,SOPRAFFINA MARKET CAFE,SOPRAFFINA MARKET CAFE,1224221,Restaurant,Risk 1 (High),111 E WACKER DR,CHICAGO,IL,60601,2012-06-13,Canvass Re-Inspection,Pass w/ Conditions,41.88807942610461,-87.62404736976374
1134456,BIG & LITTLE'S,,2036229,Restaurant,Risk 2 (Medium),939 N ORLEANS ST,CHICAGO,IL,60610,2012-03-06,Canvass,Out of Business,41.90014977443748,-87.63716134942399
1138286,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,RENDEVOUZ CAFETERIA,15777,Restaurant,Risk 1 (High),836 W WELLINGTON AVE,CHICAGO,IL,60657,2012-05-18,Canvass,Pass,41.93645016758182,-87.65055245204128
1138370,AMERICA'S DOG,AMERICA'S DOG,,Navy Pier Kiosk,Risk 2 (Medium),600 E GRAND AVE,CHICAGO,IL,60611,2012-06-28,Canvass,Pass,41.892094136861786,-87.61156988394656
1198213,SCHMEAR,SCHMEAR,2137606,Restaurant,Risk 2 (Medium),3738 N BROADWAY,CHICAGO,IL,60613,2012-03-13,License,Fail,41.95036379958208,-87.64926099909027
1214460,"1234 BBQ RIBS INC.,",HEEKRY'S BBQ PLACE,2042583,Restaurant,Risk 1 (High),1234 N HALSTED ST,CHICAGO,IL,60642,2012-04-27,Canvass,Fail,41.90450210717989,-87.64826686780404
1214984,EDGAR TAQUERIA SUSUPUATO,EDGAR TAQUERIA SUSUPUATO,30900,,Risk 3 (Low),5973 N CLARK ST,CHICAGO,IL,60660,2012-05-17,Canvass,Out of Business,41.990585629172756,-87.6698696819702
1227247,EL CORRAL,LAS ISLAS DENAYARIT,1844537,Restaurant,Risk 1 (High),3118 W 59TH ST,CHICAGO,IL,60629,2012-03-06,Canvass,Out of Business,41.786381894858785,-87.70179623177904
1229501,HOLLYWOOD GRILL,HOLLYWOOD GRILL,44712,Restaurant,Risk 1 (High),1601 W NORTH AVE,CHICAGO,IL,60622,2012-02-28,Complaint,Pass,41.9105196352962,-87.66774968632781
1229652,COMPLETELY NUTS,COMPLETELY NUTS,,Navy Pier Kiosk,Risk 3 (Low),600 E GRAND AVE,CHICAGO,IL,60611,2012-06-14,Canvass,Pass,41.892094136861786,-87.61156988394656
1230078,CAFE CON LECHE (CCLB),CAFE CON LECHE,2065296,Restaurant,Risk 1 (High),1732 N MILWAUKEE AVE,CHICAGO,IL,60647,2012-07-13,Canvass,Pass,41.91273041812944,-87.68132703318662
1235028,BLUE SKY INN,BLUE SKY INN,1894583,,Risk 3 (Low),4749 N ALBANY AVE,CHICAGO,IL,60625,2012-09-05,Canvass,Out of Business,41.968104201780136,-87.70587151550546
1300304,FALAFIL SHACK,,2003210,Restaurant,Risk 1 (High),6130 N RAVENSWOOD AVE,CHICAGO,IL,60660,2012-07-20,Canvass,Out of Business,41.9929136599404,-87.67546577788274
